         58140714 function calls (58122759 primitive calls) in 162.026 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(<module>)
       28    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(all)
      220    0.000    0.000    0.002    0.000 <__array_function__ internals>:2(amax)
      216    0.000    0.000    0.002    0.000 <__array_function__ internals>:2(amin)
      302    0.000    0.000    0.005    0.000 <__array_function__ internals>:2(any)
       64    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(around)
       33    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(atleast_1d)
       92    0.000    0.000    0.002    0.000 <__array_function__ internals>:2(broadcast_arrays)
       36    0.000    0.000    0.002    0.000 <__array_function__ internals>:2(clip)
       96    0.000    0.000    0.002    0.000 <__array_function__ internals>:2(column_stack)
      135    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(concatenate)
        1    0.000    0.000    0.002    0.002 <__array_function__ internals>:2(convolve)
        3    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(copyto)
        4    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(cumsum)
       32    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(diff)
      881    0.002    0.000    0.010    0.000 <__array_function__ internals>:2(dot)
       32    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(hstack)
        3    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(inv)
       30    0.000    0.000    0.002    0.000 <__array_function__ internals>:2(linspace)
        9    0.000    0.000    0.003    0.000 <__array_function__ internals>:2(mean)
      102    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(ndim)
       36    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(nonzero)
       32    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(ptp)
      229    0.001    0.000    0.011    0.000 <__array_function__ internals>:2(reshape)
       30    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(result_type)
       64    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(round_)
        4    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(sort)
        2    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(unravel_index)
244683/242853    0.550    0.000    1.363    0.000 <frozen importlib._bootstrap>:1009(_handle_fromlist)
      897    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:103(release)
      488    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
      488    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:147(__enter__)
      488    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:151(__exit__)
      897    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
      488    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:176(cb)
      409    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
   643/12    0.000    0.000    0.673    0.056 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
     4737    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(_requires_builtin_wrapper)
      454    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:307(__init__)
      454    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:311(__enter__)
      454    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:318(__exit__)
     1800    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
      397    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
      481    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:369(__init__)
      844    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:403(cached)
      828    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:416(parent)
      454    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:424(has_location)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:433(spec_from_loader)
      454    0.002    0.000    0.009    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
  454/451    0.001    0.000    0.032    0.000 <frozen importlib._bootstrap>:576(module_from_spec)
      488    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:58(__init__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:634(_load_backward_compatible)
   455/10    0.002    0.000    0.674    0.067 <frozen importlib._bootstrap>:663(_load_unlocked)
      475    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:719(find_spec)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:740(create_module)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:748(exec_module)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:765(is_package)
      897    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:78(acquire)
      470    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:792(find_spec)
     1904    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:855(__enter__)
     1904    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:859(__exit__)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:873(_find_spec_legacy)
      475    0.004    0.000    0.039    0.000 <frozen importlib._bootstrap>:882(_find_spec)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:929(_sanity_check)
    484/8    0.002    0.000    0.676    0.084 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
    488/8    0.002    0.000    0.676    0.084 <frozen importlib._bootstrap>:978(_find_and_load)
       11    0.000    0.000    0.015    0.001 <frozen importlib._bootstrap>:994(_gcd_import)
       52    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1029(__init__)
    52/50    0.000    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:1040(create_module)
    52/47    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1048(exec_module)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1081(__init__)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1087(_find_parent_path_names)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1097(_get_parent_path)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1101(_recalculate)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1114(__iter__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1159(exec_module)
       51    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1190(_path_hooks)
      954    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1203(_path_importer_cache)
  471/470    0.002    0.000    0.032    0.000 <frozen importlib._bootstrap_external>:1240(_get_spec)
      470    0.000    0.000    0.033    0.000 <frozen importlib._bootstrap_external>:1272(find_spec)
       51    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1319(__init__)
      408    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1325(<genexpr>)
      448    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1351(_get_spec)
      839    0.007    0.000    0.028    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
       51    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1404(_fill_cache)
       51    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1445(path_hook_for_FileFinder)
      792    0.003    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
      448    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
      839    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:40(_relax_case)
